key,0,1,2,3,4,5,6
109,"ui/icon/060000/060279.tex","화염","화염이 일겠습니다","화염이 일겠으며","화염이 일다가","화염이 일겠으며","화염이 일겠습니다"
110,"ui/icon/060000/060280.tex","해일","해일이 일겠습니다","해일이 일겠으며","해일이 일다가","해일이 일겠으며","해일이 일겠습니다"
111,"ui/icon/060000/060281.tex","회오리","회오리가 불겠습니다","회오리가 불겠으며","회오리가 불다가","회오리가 불겠으며","회오리가 불겠습니다"
112,"ui/icon/060000/060282.tex","지진","지진이 발생하겠습니다","지진이 발생하겠으며","지진이 발생하다가","지진이 발생하겠으며","지진이 발생하겠습니다"
113,"ui/icon/060000/060283.tex","푸른 봄날","푸른 봄날이 되겠습니다","푸른 봄날이 되겠으며","푸른 봄날이 되었다가","푸른 봄날이 되겠으며","푸른 봄날이 되겠습니다"
114,"ui/icon/060000/060283.tex","푸른 봄날","푸른 봄날이 되겠습니다","푸른 봄날이 되겠으며","푸른 봄날이 되었다가","푸른 봄날이 되겠으며","푸른 봄날이 되겠습니다"
115,"ui/icon/060000/060283.tex","푸른 봄날","푸른 봄날이 되겠습니다","푸른 봄날이 되겠으며","푸른 봄날이 되었다가","푸른 봄날이 되겠으며","푸른 봄날이 되겠습니다"
116,"ui/icon/060000/060284.tex","난령류","난령류가 형성되겠습니다","난령류가 형성되겠으며","난령류가 형성되었다가","난령류가 형성되겠으며","난령류가 형성되겠습니다"
117,"ui/icon/060000/060283.tex","푸른 봄날","푸른 봄날이 되겠습니다","푸른 봄날이 되겠으며","푸른 봄날이 되었다가","푸른 봄날이 되겠으며","푸른 봄날이 되겠습니다"
118,"ui/icon/060000/060221.tex","끝없는 빛","끝없는 빛이 비치겠습니다","끝없는 빛이 비치겠으며","끝없는 빛이 비쳤다가","끝없는 빛이 비치겠으며","끝없는 빛이 비치겠습니다"
119,"ui/icon/060000/060253.tex","폭풍","폭풍이 불겠습니다","폭풍이 불겠으며","폭풍이 불었다가","폭풍이 불겠으며","폭풍이 불겠습니다"
120,"ui/icon/060000/060287.tex","종말","종말이 찾아오겠습니다","종말이 찾아오겠으며","종말이 찾아왔다가","종말이 찾아오겠으며","종말이 찾아오겠습니다"
121,"ui/icon/060000/060287.tex","종말","종말이 찾아오겠습니다","종말이 찾아오겠으며","종말이 찾아왔다가","종말이 찾아오겠으며","종말이 찾아오겠습니다"
122,"ui/icon/060000/060285.tex","이상한 꿈","이상한 꿈을 꾸겠습니다","이상한 꿈을 꾸겠으며","이상한 꿈을 꾸다가","이상한 꿈을 꾸겠으며","이상한 꿈을 꾸겠습니다"
123,"ui/icon/060000/060285.tex","이상한 꿈","이상한 꿈을 꾸겠습니다","이상한 꿈을 꾸겠으며","이상한 꿈을 꾸다가","이상한 꿈을 꾸겠으며","이상한 꿈을 꾸겠습니다"
124,"ui/icon/060000/060285.tex","이상한 꿈","이상한 꿈을 꾸겠습니다","이상한 꿈을 꾸겠으며","이상한 꿈을 꾸다가","이상한 꿈을 꾸겠으며","이상한 꿈을 꾸겠습니다"
125,"ui/icon/060000/060286.tex","눈부신 하늘","눈부신 하늘이 되겠습니다","눈부신 하늘이 되겠으며","눈부신 하늘이 되었다가","눈부신 하늘이 되겠으며","눈부신 하늘이 되겠습니다"
126,"ui/icon/060000/060286.tex","눈부신 하늘","눈부신 하늘이 되겠습니다","눈부신 하늘이 되겠으며","눈부신 하늘이 되었다가","눈부신 하늘이 되겠으며","눈부신 하늘이 되겠습니다"
127,"ui/icon/060000/060287.tex","종말","종말이 찾아오겠습니다","종말이 찾아오겠으며","종말이 찾아왔다가","종말이 찾아오겠으며","종말이 찾아오겠습니다"
128,"ui/icon/060000/060287.tex","종말","종말이 찾아오겠습니다","종말이 찾아오겠으며","종말이 찾아왔다가","종말이 찾아오겠으며","종말이 찾아오겠습니다"
129,"ui/icon/060000/060221.tex","끝없는 빛","끝없는 빛이 비치겠습니다","끝없는 빛이 비치겠으며","끝없는 빛이 비쳤다가","끝없는 빛이 비치겠으며","끝없는 빛이 비치겠습니다"
130,"ui/icon/060000/060254.tex","분화","화산이 분화하겠습니다","화산이 분화하겠으며","화산이 분화했다가","화산이 분화하겠으며","화산이 분화하겠습니다"
131,"ui/icon/060000/060287.tex","종말","종말이 찾아오겠습니다","종말이 찾아오겠으며","종말이 찾아왔다가","종말이 찾아오겠으며","종말이 찾아오겠습니다"
132,"ui/icon/060000/060202.tex","맑음","맑겠습니다","맑겠으며","맑았다가","맑아지겠으며","맑아지겠습니다"
133,"ui/icon/060000/060288.tex","화속성풍","화속성풍이 불겠습니다","화속성풍이 불겠으며","화속성풍이 불다가","화속성풍이 불겠으며","화속성풍이 불겠습니다"
134,"ui/icon/060000/060289.tex","토속성풍","토속성풍이 불겠습니다","토속성풍이 불겠으며","토속성풍이 불다가","토속성풍이 불겠으며","토속성풍이 불겠습니다"
135,"ui/icon/060000/060290.tex","뇌속성풍","뇌속성풍이 불겠습니다","뇌속성풍이 불겠으며","뇌속성풍이 불다가","뇌속성풍이 불겠으며","뇌속성풍이 불겠습니다"
136,"ui/icon/060000/060291.tex","풍속성풍","풍속성풍이 불겠습니다","풍속성풍이 불겠으며","풍속성풍이 불다가","풍속성풍이 불겠으며","풍속성풍이 불겠습니다"
137,"ui/icon/060000/060296.tex","유성우","유성우가 쏟아지겠습니다","유성우가 쏟아지겠으며","유성우가 쏟아지다가","유성우가 쏟아지겠으며","유성우가 쏟아지겠습니다"
138,"ui/icon/060000/060294.tex","기억난류","기억난류가 흐르겠습니다","기억난류가 흐르겠으며","기억난류가 흐르다가","기억난류가 흐르겠으며","기억난류가 흐르겠습니다"
139,"ui/icon/060000/060203.tex","흐림","흐리겠습니다","흐리겠으며","흐렸다가","흐려지겠으며","흐려지겠습니다"
140,"ui/icon/060000/060203.tex","흐림","흐리겠습니다","흐리겠으며","흐렸다가","흐려지겠으며","흐려지겠습니다"
141,"ui/icon/060000/060260.tex","극광","극광이 나타나겠습니다","극광이 나타나겠으며","극광이 나타났다가","극광이 나타나겠으며","극광이 나타나겠습니다"
142,"ui/icon/060000/060260.tex","극광","극광이 나타나겠습니다","극광이 나타나겠으며","극광이 나타났다가","극광이 나타나겠으며","극광이 나타나겠습니다"
143,"ui/icon/060000/060259.tex","뇌운","뇌운이 발생하겠습니다","뇌운이 발생하겠으며","뇌운이 발생했다가","뇌운이 발생하겠으며","뇌운이 발생하겠습니다"
144,"ui/icon/060000/060295.tex","불바람","불바람이 불겠습니다","불바람이 불겠으며","불바람이 불다가","불바람이 불겠으며","불바람이 불겠습니다"
145,"ui/icon/060000/060292.tex","환해류","환해류가 흐르겠습니다","환해류가 흐르겠으며","환해류가 흐르다가","환해류가 흐르겠으며","환해류가 흐르겠습니다"
146,,"","","","","",""
147,"ui/icon/060000/060297.tex","결전","결전의 날이 다가오겠습니다","결전의 날이 다가오겠으며","결전의 날이 다가왔다가","결전의 날이 다가오겠으며","결전의 날이 다가오겠습니다"
148,"ui/icon/060000/060222.tex","달모래먼지","달모래먼지가 일겠습니다","달모래먼지가 일겠으며","달모래먼지가 일었다가","달모래먼지가 일겠으며","달모래먼지가 일겠습니다"
149,"ui/icon/060000/060223.tex","자기 폭풍","자기 폭풍이 불겠습니다","자기 폭풍이 불겠으며","자기 폭풍이 불었다가","자기 폭풍이 불겠으며","자기 폭풍이 불겠습니다"
150,"ui/icon/060000/060224.tex","종말","종말이 찾아오겠습니다","종말이 찾아오겠으며","종말이 찾아왔다가","종말이 찾아오겠으며","종말이 찾아오겠습니다"
151,"ui/icon/060000/060298.tex","별빛그림자","별빛그림자가 지겠습니다","별빛그림자가 지겠으며","별빛그림자가 지다가","별빛그림자가 지겠으며","별빛그림자가 지겠습니다"
152,"ui/icon/060000/060298.tex","별빛그림자","별빛그림자가 지겠습니다","별빛그림자가 지겠으며","별빛그림자가 지다가","별빛그림자가 지겠으며","별빛그림자가 지겠습니다"
153,"ui/icon/060000/060298.tex","별빛그림자","별빛그림자가 지겠습니다","별빛그림자가 지겠으며","별빛그림자가 지다가","별빛그림자가 지겠으며","별빛그림자가 지겠습니다"
154,"ui/icon/060000/060298.tex","별빛그림자","별빛그림자가 지겠습니다","별빛그림자가 지겠으며","별빛그림자가 지다가","별빛그림자가 지겠으며","별빛그림자가 지겠습니다"
155,"ui/icon/060000/060298.tex","별빛그림자","별빛그림자가 지겠습니다","별빛그림자가 지겠으며","별빛그림자가 지다가","별빛그림자가 지겠으며","별빛그림자가 지겠습니다"
156,"ui/icon/060000/060225.tex","가상","가상이 펼쳐지겠습니다","가상이 펼쳐지겠으며","가상이 펼쳐졌다가","가상이 펼쳐지겠으며","가상이 펼쳐지겠습니다"
157,"ui/icon/060000/060228.tex","마의 전당","마의 전당이 열리겠습니다","마의 전당이 열리겠으며","마의 전당이 열렸다가","마의 전당이 열리겠으며","마의 전당이 열리겠습니다"
158,"ui/icon/060000/060228.tex","마의 전당","마의 전당이 열리겠습니다","마의 전당이 열리겠으며","마의 전당이 열렸다가","마의 전당이 열리겠으며","마의 전당이 열리겠습니다"
159,"ui/icon/060000/060228.tex","마의 전당","마의 전당이 열리겠습니다","마의 전당이 열리겠으며","마의 전당이 열렸다가","마의 전당이 열리겠으며","마의 전당이 열리겠습니다"
160,"ui/icon/060000/060299.tex","종극","종극에 다다르겠습니다","종극에 다다르겠으며","종극에 다다랐다가","종극에 다다르겠으며","종극에 다다르겠습니다"
161,"ui/icon/060000/060229.tex","절망","절망에 빠지겠습니다","절망에 빠지겠으며","절망에 빠졌다가","절망에 빠지겠으며","절망에 빠지겠습니다"
